spec_id,scope,dv,formula,n,aic,aicc,bic,logLik,converged,delta_aicc,akaike_weight,aicc_rank
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,34
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,35
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,36
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,37
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,38
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,39
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,40
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,41
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,42
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,43
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,44
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,45
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,46
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,47
69a49ef5a86ba0546c19aeda83876d3a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,48
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,49
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,50
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,51
08455eb3d906bc948f15caa55d9c5504,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTERSTATE__bin + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.521812,3533.556671,3576.063942,-1759.760906,True,5.523166,0.002697,52
0309574fd0ac84dbdda148e35959c11a,Global,Outbreak,Outbreak ~ scale(Year) + CLIMATIC + INTRASTATE + (1 | Continent) + (1 | Country),3221,3533.655956,3533.682092,3570.120639,-1760.827978,True,5.648587,0.002533,53
